Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
07-04-2024,25.5,33.8,28.1,85.0,0.2,4.6,3.0,60.0,1.0,C 
08-04-2024,24.6,33.6,28.7,83.0,0.0,3.8,4.0,300.0,1.0,C 
09-04-2024,25.2,32.5,26.6,94.0,0.3,9.7,3.0,290.0,1.0,C 
10-04-2024,24.7,31.0,26.7,93.0,70.0,2.7,2.0,50.0,0.0,C 
11-04-2024,24.6,32.6,26.9,90.0,6.6,0.8,5.0,360.0,1.0,C 
12-04-2024,23.9,32.0,26.8,90.0,4.1,5.0,3.0,300.0,1.0,C 
13-04-2024,24.0,32.6,27.5,87.0,92.7,5.2,3.0,300.0,1.0,C 
14-04-2024,24.2,33.4,28.5,84.0,0.0,5.3,4.0,300.0,1.0,C 
15-04-2024,25.0,33.1,28.5,84.0,0.0,9.1,4.0,300.0,1.0,C 
16-04-2024,25.4,33.0,28.0,88.0,0.0,7.1,4.0,290.0,1.0,C 
17-04-2024,25.4,31.8,27.5,86.0,2.6,6.1,5.0,160.0,2.0,C 
18-04-2024,24.5,33.2,28.2,85.0,0.0,6.2,4.0,310.0,1.0,C 
19-04-2024,23.8,33.2,28.4,82.0,0.0,6.4,4.0,330.0,1.0,C 
20-04-2024,24.1,34.1,28.3,88.0,0.0,9.6,4.0,80.0,1.0,C 
21-04-2024,25.2,32.6,28.7,86.0,2.7,4.9,4.0,330.0,1.0,C 
22-04-2024,25.4,33.5,28.8,84.0,0.0,2.8,4.0,310.0,1.0,C 
23-04-2024,25.3,32.2,26.5,93.0,0.2,7.8,3.0,300.0,0.0,C 
24-04-2024,24.5,32.0,27.8,88.0,5.0,2.9,3.0,320.0,1.0,C 
25-04-2024,24.8,34.2,28.8,83.0,7.5,6.2,3.0,240.0,1.0,C 
26-04-2024,25.6,31.5,27.7,90.0,0.0,8.0,2.0,250.0,0.0,C 
27-04-2024,24.5,33.2,28.8,82.0,1.5,2.6,4.0,290.0,1.0,C 
28-04-2024,25.0,31.4,27.4,92.0,0.0,8.6,2.0,310.0,0.0,C 
29-04-2024,25.0,29.7,26.5,94.0,2.0,0.0,3.0,60.0,1.0,C 
30-04-2024,24.0,33.6,28.6,82.0,1.0,0.0,3.0,320.0,1.0,C 
01-05-2024,24.6,32.8,28.8,84.0,0.0,9.8,4.0,290.0,1.0,C 
02-05-2024,25.2,33.0,28.2,85.0,0.0,8.5,2.0,320.0,1.0,C 
04-05-2024,24.9,33.4,28.8,85.0,0.0,2.3,4.0,300.0,1.0,C 
05-05-2024,25.1,31.2,26.8,92.0,19.0,7.5,2.0,40.0,0.0,C 
06-05-2024,24.4,33.5,28.9,83.0,1.1,0.0,4.0,310.0,1.0,C 
07-05-2024,25.2,32.7,28.3,86.0,0.0,9.5,3.0,310.0,1.0,C 
08-05-2024,24.4,32.8,27.4,88.0,0.0,3.5,4.0,160.0,1.0,SE
09-05-2024,24.4,33.6,28.5,80.0,0.0,1.6,4.0,280.0,1.0,C 
10-05-2024,24.6,33.6,28.9,83.0,0.0,8.8,4.0,330.0,1.0,C 
11-05-2024,25.4,32.4,26.3,92.0,0.0,8.7,3.0,160.0,1.0,C 
12-05-2024,23.8,33.2,26.7,91.0,1.5,2.2,5.0,70.0,1.0,C 
13-05-2024,23.8,32.5,28.5,87.0,14.4,3.9,3.0,280.0,1.0,C 
14-05-2024,25.4,33.4,27.7,90.0,1.8,6.4,2.0,100.0,1.0,C 
15-05-2024,25.2,34.9,29.4,83.0,13.5,3.3,3.0,170.0,1.0,C 
16-05-2024,25.2,31.8,27.4,91.0,0.7,8.7,3.0,70.0,0.0,C 
