Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
28.9,83.0,1.1,0.0,4.0,310.0,1.0,C 
28.3,86.0,0.0,9.5,3.0,310.0,1.0,C 
27.4,88.0,0.0,3.5,4.0,160.0,1.0,SE
28.5,80.0,0.0,1.6,4.0,280.0,1.0,C 
28.9,83.0,0.0,8.8,4.0,330.0,1.0,C 
26.3,92.0,0.0,8.7,3.0,160.0,1.0,C 
26.7,91.0,1.5,2.2,5.0,70.0,1.0,C 
28.5,87.0,14.4,3.9,3.0,280.0,1.0,C 
27.7,90.0,1.8,6.4,2.0,100.0,1.0,C 
29.4,83.0,13.5,3.3,3.0,170.0,1.0,C 
27.4,91.0,0.7,8.7,3.0,70.0,0.0,C 
27.9,90.0,15.8,1.8,4.0,300.0,1.0,C 
26.6,94.0,4.8,6.8,3.0,300.0,1.0,C 
28.1,87.0,1.9,2.3,3.0,100.0,1.0,C 
28.5,84.0,3.1,7.4,4.0,300.0,1.0,C 
29.1,82.0,0.0,7.8,4.0,160.0,1.0,C 
26.8,93.0,3.4,9.0,2.0,110.0,0.0,C 
27.1,90.0,0.0,0.0,3.0,250.0,1.0,C 
29.0,83.0,0.0,1.4,4.0,310.0,1.0,C 
27.7,89.0,0.0,9.9,3.0,180.0,2.0,S 
27.8,86.0,4.5,2.2,5.0,190.0,2.0,C 
27.7,87.0,7.8,6.6,3.0,300.0,1.0,C 
28.9,88.0,1.9,6.9,3.0,290.0,1.0,C 
28.5,87.0,6.3,5.1,4.0,150.0,1.0,C 
28.5,86.0,0.0,6.4,4.0,230.0,1.0,C 
28.7,84.0,0.3,6.8,3.0,140.0,1.0,C 
27.5,91.0,9.5,4.4,3.0,150.0,0.0,C 
25.0,99.0,1.0,0.0,2.0,300.0,0.0,C 
27.2,90.0,103.4,0.0,2.0,150.0,1.0,C 
27.8,85.0,0.0,1.2,4.0,160.0,2.0,S 
28.5,86.0,5.9,6.5,5.0,160.0,1.0,C 
26.7,86.0,17.5,3.4,4.0,170.0,1.0,C 
28.0,85.0,3.7,5.7,2.0,160.0,0.0,C 
29.1,83.0,0.0,1.3,3.0,330.0,1.0,C 
26.2,90.0,0.0,9.1,2.0,110.0,1.0,C 
27.7,89.0,3.2,2.6,3.0,320.0,0.0,C 
28.2,85.0,0.0,5.8,3.0,290.0,1.0,C 
28.2,82.0,1.3,5.3,3.0,300.0,1.0,C 
28.2,81.0,0.0,6.8,3.0,300.0,1.0,C 
28.2,83.0,0.0,8.3,4.0,290.0,1.0,C 
27.5,87.0,0.4,7.9,5.0,260.0,1.0,C 
28.1,85.0,0.0,5.6,2.0,170.0,1.0,C 
27.2,90.0,0.2,5.7,2.0,170.0,1.0,C 
27.9,84.0,0.9,1.2,3.0,90.0,1.0,C 
26.1,92.0,0.0,4.4,2.0,170.0,0.0,C 
27.0,88.0,0.0,0.0,3.0,160.0,1.0,S 
26.7,88.0,12.4,0.3,6.0,290.0,2.0,SE
26.6,86.0,9.1,2.7,2.0,140.0,1.0,C 
28.0,84.0,0.0,1.9,4.0,320.0,1.0,C 
28.2,85.0,0.0,7.3,4.0,330.0,1.0,C 
27.7,89.0,0.0,8.2,3.0,70.0,1.0,C 
27.1,90.0,21.0,4.5,4.0,330.0,1.0,C 
26.6,90.0,1.3,2.9,5.0,170.0,1.0,C 
26.8,92.0,13.1,3.2,4.0,240.0,1.0,C 
26.3,90.0,4.2,1.8,4.0,170.0,1.0,C 
