,Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
220,2024-02-24,23.0,32.8,27.8,85.0,0.0,8.8,4.0,290.0,1.0,C 
221,2024-02-25,23.0,31.8,26.8,91.0,0.0,5.6,3.0,350.0,1.0,C 
222,2024-02-26,23.9,29.2,26.3,94.0,4.2,3.1,4.0,70.0,1.0,C 
223,2024-02-27,24.3,32.5,28.1,83.0,0.6,0.0,5.0,20.0,2.0,C 
224,2024-02-28,25.3,31.4,26.8,91.0,0.0,8.6,3.0,10.0,1.0,C 
225,2024-02-29,24.9,31.8,27.2,91.0,2.9,1.6,4.0,40.0,1.0,C 
226,2024-03-01,25.2,28.4,26.5,96.0,1.0,0.7,2.0,140.0,0.0,C 
227,2024-03-02,24.7,28.0,25.7,96.0,68.2,0.0,2.0,100.0,0.0,C 
228,2024-03-03,24.3,31.4,27.1,92.0,16.4,1.5,4.0,330.0,1.0,C 
229,2024-03-04,24.9,30.9,27.3,90.0,2.8,3.5,3.0,60.0,1.0,C 
230,2024-03-05,24.7,28.6,26.3,96.0,0.2,0.9,3.0,350.0,1.0,C 
231,2024-03-06,24.7,32.2,27.8,89.0,3.6,0.3,2.0,340.0,1.0,C 
232,2024-03-07,25.1,32.5,27.7,90.0,0.0,1.3,4.0,340.0,1.0,C 
233,2024-03-08,25.0,29.7,27.1,91.0,0.0,5.0,4.0,40.0,1.0,C 
234,2024-03-09,24.9,29.7,26.6,93.0,0.4,0.0,3.0,50.0,1.0,C 
235,2024-03-10,24.0,32.0,27.4,86.0,4.8,0.0,5.0,70.0,1.0,C 
236,2024-03-11,24.4,30.9,27.0,89.0,0.0,4.6,3.0,350.0,1.0,C 
237,2024-03-13,24.4,31.3,26.5,86.0,0.0,7.2,3.0,70.0,1.0,C 
238,2024-03-14,22.2,33.3,27.1,80.0,0.0,0.0,4.0,20.0,1.0,C 
239,2024-03-15,22.8,31.3,27.6,87.0,0.0,8.4,5.0,310.0,1.0,C 
240,2024-03-16,24.0,32.0,26.8,88.0,0.0,6.2,4.0,30.0,1.0,C 
241,2024-03-18,23.8,33.4,27.8,86.0,0.0,10.0,4.0,100.0,1.0,C 
242,2024-03-19,24.2,32.3,28.0,84.0,0.0,5.9,4.0,20.0,2.0,NE
243,2024-03-20,24.8,32.8,28.2,82.0,0.0,6.9,5.0,350.0,2.0,C 
244,2024-03-21,24.9,33.3,27.9,79.0,0.0,8.7,4.0,30.0,1.0,C 
245,2024-03-22,23.7,35.0,28.3,78.0,0.0,7.6,4.0,340.0,1.0,C 
